protocol_id,platform,tool_version,top,width,implementation,architecture,evidence_class,status,support_status,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,max_fanout,cross_lane_connections,unit_nand_critical_depth,combinational_loop_status,netlist_sha256,warning_count,notes
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_power_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,226,0,0,4,7,11,230,459,48,0,21,ACYCLIC,5ddf89216133d97123a8df1edeb13268dd8583388e4abcff1144b0455be1614a,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_power_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,30,0,0,4,7,11,52,67,5,0,7,ACYCLIC,31f2f6a7d20e7779212ba08c4e05c20723efba61c4a586b7bb8a95c8649d5141,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_valuation_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,32,0,0,9,4,13,41,68,12,0,7,ACYCLIC,7c72582ff550930038c849e240399535848976a295ef1df0c06cc3a41844c08b,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_valuation_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,24,0,0,9,4,13,34,52,5,0,7,ACYCLIC,cf8f9b5825f0ce9392f19329630bfb25511c50d25f9042da4c654e7f581bc176,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_cold_encode_w4,4,COLD-ENCODER-S4,BINARY_MAGNITUDE_TO_BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,251,0,0,4,9,13,255,511,39,0,21,ACYCLIC,4d5cd62a5a81eaec8a40d76d41e9480b5215e52a0451cdd0f3cf132e60f06115,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_cold_encode_w4,4,COLD-ENCODER-S4,BINARY_MAGNITUDE_TO_BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,44,0,0,4,9,13,150,97,5,0,9,ACYCLIC,c321ad2aff45c757926d69cc14f5513ab4fb6dbd026ea9c484170cfe4c36b972,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_compose_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,104,0,0,16,12,28,120,220,24,0,10,ACYCLIC,f4bd27b82c00945b7cf47b25c211dd0f44049c8ca0a198fe716e97efb965e05c,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_compose_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,66,0,0,16,12,28,97,144,11,0,8,ACYCLIC,67087a3022b02e86190e415a1eddd8946ecb672dbcdd714fe78be7acba65bc35,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_divides_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,34,0,0,16,1,17,50,69,4,0,16,ACYCLIC,64a3ab73b6c8b36caa01dcc73edfc68f0aec0a0053a7d0facb2785d96b566d4b,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_therm_divides_w4,4,VFU-THERM-S4,THERMOMETER_THRESHOLD,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,30,0,0,16,1,17,46,61,2,0,8,ACYCLIC,e19a9d817845f35bf1c06936e8c669dbb5d2ba53e1c3e57b0cbb8814b2ec705c,1,Warning count was parsed from the corresponding synthesis log.
