width,family,trace_id,candidate,baseline,cache_capacity,speculation_budget,stable_cycle_prefix,stable_service_nand_prefix,final_cycle_delta,final_service_nand_delta,final_no_worse_both,strictly_better_at_least_one,eligible_for_frozen_decision,attribution
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,2,0,-1,-1,132,232584,false,false,false,GENERIC_MEMOIZATION
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,2,0,-1,-1,144,243156,false,false,false,GENERIC_CHECKPOINT
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,2,0,-1,-1,144,243156,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,2,0,-1,-1,12,10572,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,2,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,2,1,-1,-1,56,70126,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,2,4,-1,-1,480,407300,false,false,false,GENERIC_OR_UNATTRIBUTED
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,4,0,-1,-1,132,472032,false,false,false,GENERIC_MEMOIZATION
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,4,0,-1,-1,144,493488,false,false,false,GENERIC_CHECKPOINT
8,SMOOTH_STRIP,smooth-near-smooth-rough,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,4,0,-1,-1,144,493488,false,false,false,GENERIC_OR_UNATTRIBUTED
